平均加速度 > 0.01 的文件索引列表
============================================================

总文件数: 23161
符合条件的文件数: 6154

索引       平均加速度           文件名
--------------------------------------------------------------------------------
2218     0.107205        sg-one-north_4a7ec63de9ad5ba3.npz
5189     0.100241        sg-one-north_b2e81cd9ee9b512b.npz
15316    0.095914        us-pa-pittsburgh-hazelwood_21e3b2f441bc5f2e.npz
3363     0.089648        sg-one-north_72e56f9d16205ff9.npz
3194     0.087417        sg-one-north_6c231b1c166d5cac.npz
4180     0.083595        sg-one-north_8fc680af805c5f77.npz
1802     0.082346        sg-one-north_3b909a4e04765842.npz
13941    0.078008        us-nv-las-vegas-strip_e78053f2364f55f9.npz
22225    0.077468        us-pa-pittsburgh-hazelwood_e60e948e37995c5e.npz
9765     0.075882        us-ma-boston_7db63bc7633c587c.npz
11583    0.075314        us-ma-boston_dcd38feca5625c90.npz
12290    0.075071        us-nv-las-vegas-strip_06163080d988569f.npz
143      0.074973        sg-one-north_05d1549871a650ee.npz
18486    0.074103        us-pa-pittsburgh-hazelwood_7ba881de6707564a.npz
15504    0.073835        us-pa-pittsburgh-hazelwood_269683f7a5f159fa.npz
4553     0.073589        sg-one-north_9bdeadb97cba50ea.npz
2505     0.073224        sg-one-north_543615e89e665a1e.npz
20143    0.073218        us-pa-pittsburgh-hazelwood_a95e087d24ce5dc6.npz
4347     0.073121        sg-one-north_954735a167115b54.npz
7336     0.072975        sg-one-north_fa91a6fc5c9252fb.npz
3939     0.071930        sg-one-north_872d680e65fc51b8.npz
9470     0.071203        us-ma-boston_6ee0c4e4c122552b.npz
18408    0.070540        us-pa-pittsburgh-hazelwood_78fc72238553593d.npz
22966    0.070205        us-pa-pittsburgh-hazelwood_faaed003c9fc5a8f.npz
5088     0.068962        sg-one-north_af163b856568559e.npz
17685    0.068772        us-pa-pittsburgh-hazelwood_63577fe9f1f05ddd.npz
1184     0.068116        sg-one-north_27718fcb08db5684.npz
6979     0.068116        sg-one-north_ef38a0e42bc457af.npz
8767     0.067552        us-ma-boston_48b3242d031d5573.npz
6777     0.067441        sg-one-north_e87868db50fd5b1e.npz
2720     0.067082        sg-one-north_5b4894eab0c15dc6.npz
8737     0.064652        us-ma-boston_467c2cb37036521c.npz
18217    0.064482        us-pa-pittsburgh-hazelwood_7309d656e4a05b31.npz
12807    0.063977        us-nv-las-vegas-strip_4a392fe962f654c7.npz
13610    0.063839        us-nv-las-vegas-strip_ba9873b5f91a55a7.npz
20091    0.063342        us-pa-pittsburgh-hazelwood_a7bf208b3ee15827.npz
16054    0.063148        us-pa-pittsburgh-hazelwood_3679e1888a4d5fec.npz
621      0.063095        sg-one-north_159941ceb50f50e8.npz
12941    0.062674        us-nv-las-vegas-strip_5fade9472dfe5c67.npz
9551     0.062442        us-ma-boston_732003d24ffc5eed.npz
18270    0.062020        us-pa-pittsburgh-hazelwood_74c12b0812535eba.npz
15588    0.061923        us-pa-pittsburgh-hazelwood_291fa615ddc55188.npz
3455     0.061687        sg-one-north_76364eb5856f54e5.npz
19795    0.061304        us-pa-pittsburgh-hazelwood_9f46be917c095eab.npz
15641    0.061128        us-pa-pittsburgh-hazelwood_2accd3d80c99596e.npz
1        0.061006        sg-one-north_0019239c725558a9.npz
3065     0.060933        sg-one-north_6706353e78055b3a.npz
421      0.060226        sg-one-north_0f216b0bb26d5a5d.npz
15123    0.060149        us-pa-pittsburgh-hazelwood_1c3f41e9b25d537c.npz
1797     0.059721        sg-one-north_3b6cfa5d5d665b46.npz
14826    0.059457        us-pa-pittsburgh-hazelwood_13b9d0a481f6574b.npz
9591     0.059350        us-ma-boston_759aa5e07bb05d38.npz
21887    0.059209        us-pa-pittsburgh-hazelwood_dc0c0717cb415713.npz
3545     0.058502        sg-one-north_79944adfdff05429.npz
19835    0.058440        us-pa-pittsburgh-hazelwood_a0b937b69ecf5e94.npz
13155    0.057722        us-nv-las-vegas-strip_7ebba0c12d5c520f.npz
10815    0.057617        us-ma-boston_b591b67a364e599a.npz
1671     0.057505        sg-one-north_3788e0f9508d53ab.npz
